Line,Route,Direction,Municipality,On Street,At Street,Time Point - Description,Stop ID/Stop Num
772,772,Outbound,BERGENFIELD,WASHINGTON AVE,ENGLEWOOD AVE,BERGENFIELD - WASHINGTON AVE at ENGLEWOOD AVE,11037
772,772,Outbound,BERGENFIELD,WASHINGTON AVE,MAGNOLIA ST,BERGENFIELD - WASHINGTON AVE at MAGNOLIA ST,11038
772,772,Outbound,BERGENFIELD,WASHINGTON AVE,EAST BROAD ST,BERGENFIELD - WASHINGTON AVE at EAST BROAD ST,11039
772,772,Outbound,BERGENFIELD,WASHINGTON AVE,EDWARD ST,BERGENFIELD - WASHINGTON AVE at EDWARD ST,11040
772,772,Outbound,BERGENFIELD,WASHINGTON AVE,BERGEN AVE,BERGENFIELD - WASHINGTON AVE at BERGEN AVE,11041
772,772,Outbound,BERGENFIELD,WASHINGTON AVE,EAST CHURCH ST,BERGENFIELD - WASHINGTON AVE at EAST CHURCH ST,11043
772,772,Outbound,BERGENFIELD,WASHINGTON AVE,EAST JOHNSON AVE,BERGENFIELD - WASHINGTON AVE at EAST JOHNSON AVE,11044
772,772,Outbound,BERGENFIELD,WASHINGTON AVE,HICKORY AVE,BERGENFIELD - WASHINGTON AVE at HICKORY AVE,11045
772,772,Outbound,BERGENFIELD,WASHINGTON AVE,MERRITT AVE,BERGENFIELD - WASHINGTON AVE at MERRITT AVE,11046
772,772,Inbound,BERGENFIELD,WASHINGTON AVE,LT. DE CHAMBERLAIN,BERGENFIELD - WASHINGTON AVE at LT. DE CHAMBERLAIN,11047
772,772,Inbound,BERGENFIELD,WASHINGTON AVE,WEST CHURCH ST,BERGENFIELD - WASHINGTON AVE at WEST CHURCH ST,11049
772,772,Inbound,BERGENFIELD,WASHINGTON AVE,BEDFORD AVE,BERGENFIELD - WASHINGTON AVE at BEDFORD AVE,11051
772,772,Inbound,BERGENFIELD,WASHINGTON AVE,WEST CLINTON AVE,BERGENFIELD - WASHINGTON AVE at WEST CLINTON AVE,11052
772,772,Inbound,BERGENFIELD,WASHINGTON AVE,WEST BROAD ST,BERGENFIELD - WASHINGTON AVE at WEST BROAD ST,11053
772,772,Inbound,BERGENFIELD,WASHINGTON AVE,MILLER ST,BERGENFIELD - WASHINGTON AVE at MILLER ST,11054
772,772,Inbound,BERGENFIELD,WASHINGTON AVE,WEST ENGLEWOOD AVE,BERGENFIELD - WASHINGTON AVE at WEST ENGLEWOOD AVE,11055
772,772,Inbound,BERGENFIELD,WASHINGTON AVE,NEW BRIDGE ROAD,BERGENFIELD - WASHINGTON AVE at NEW BRIDGE ROAD,11056
772,772,Outbound,CARLSTADT,GOTHAM PKWY,VETERANS BLVD,CARLSTADT - GOTHAM PKWY at VETERANS BLVD,11083
772,772,Outbound,CARLSTADT,GOTHAM PKWY,JONY DR,CARLSTADT - GOTHAM PKWY at JONY DR,11084
772,772,Outbound,CARLSTADT,GOTHAM PKWY,AMOR AVE,CARLSTADT - GOTHAM PKWY at AMOR AVE,11085
772,772,Outbound,CARLSTADT,GOTHAM PKWY,UNIVERSAL PL,CARLSTADT - GOTHAM PKWY at UNIVERSAL PL,11086
772,772,Inbound,CARLSTADT,GOTHAM PKWY,UNIVERSAL PL,CARLSTADT - GOTHAM PKWY at UNIVERSAL PL,11087
772,772,Inbound,CARLSTADT,GOTHAM PKWY,AMOR AVE,CARLSTADT - GOTHAM PKWY at AMOR AVE,11088
772,772,Inbound,CARLSTADT,GOTHAM PKWY,JONY DR,CARLSTADT - GOTHAM PKWY at JONY DR,11089
772,772,Inbound,CARLSTADT,GOTHAM PKWY,VETERANS BLVD,CARLSTADT - GOTHAM PKWY at VETERANS BLVD,11090
772,772,Outbound,CARLSTADT,MOONACHIE AVE,EASTERN WAY,CARLSTADT - MOONACHIE AVE at EASTERN WAY,11103
772,772,Outbound,CARLSTADT,RT-120,GOTHAM PKWY (65' N ),CARLSTADT - RT-120 at GOTHAM PKWY (65' N ),11106
772,772,Outbound,CARLSTADT,WASHINGTON AVE,BARELL AVE,CARLSTADT - WASHINGTON AVE at BARELL AVE,11110
772,772,Outbound,CARLSTADT,WASHINGTON AVE,KERO RD (117' S ),CARLSTADT - WASHINGTON AVE at KERO RD (117' S ),11111
772,772,Outbound,CARLSTADT,WASHINGTON AVE,COMMERCE RD (200' N ),CARLSTADT - WASHINGTON AVE at COMMERCE RD (200' N ),11112
772,772,Outbound,CARLSTADT,WASHINGTON AVE,EMPIRE BLVD,CARLSTADT - WASHINGTON AVE at EMPIRE BLVD,11113
772,772,Inbound,CARLSTADT,WASHINGTON AVE,MOONACHIE AVE (545' S ),CARLSTADT - WASHINGTON AVE at MOONACHIE AVE (545' S ),11114
772,772,Outbound,CARLSTADT,WASHINGTON AVE,MOONACHIE AVE (545' S ),CARLSTADT - WASHINGTON AVE at MOONACHIE AVE (545' S ),11114
772,772,Inbound,CARLSTADT,WASHINGTON AVE,COMMERCE RD,CARLSTADT - WASHINGTON AVE at COMMERCE RD,11115
772,772,Inbound,CARLSTADT,WASHINGTON AVE,KERO RD (198' S ),CARLSTADT - WASHINGTON AVE at KERO RD (198' S ),11116
772,772,Inbound,CARLSTADT,WASHINGTON AVE,VETERANS BLVD,CARLSTADT - WASHINGTON AVE at VETERANS BLVD,11118
772,772,Outbound,CARLSTADT,CENTRAL BLVD,COMMERCE BLVD (847' N ),CARLSTADT - CENTRAL BLVD at COMMERCE BLVD (847' N ),11120
772,772,Inbound,CARLSTADT,CENTRAL BLVD,COMMERCE BLVD (847' N ),CARLSTADT - CENTRAL BLVD at COMMERCE BLVD (847' N ),11120
772,772,Inbound,DUMONT,MADISON AVE,HILLSIDE AVE,DUMONT - MADISON AVE at HILLSIDE AVE,11268
772,772,Inbound,DUMONT,MADISON AVE,OMAHA ST,DUMONT - MADISON AVE at OMAHA ST,11269
772,772,Inbound,DUMONT,MADISON AVE,PROSPECT AVE,DUMONT - MADISON AVE at PROSPECT AVE,11270
772,772,Inbound,DUMONT,MADISON AVE,COOPER AVE,DUMONT - MADISON AVE at COOPER AVE,11271
772,772,Inbound,DUMONT,MADISON AVE,JOHNSON AVE,DUMONT - MADISON AVE at JOHNSON AVE,11272
772,772,Outbound,DUMONT,MADISON AVE,VETERANS PLAZA,DUMONT - MADISON AVE at VETERANS PLAZA,11285
772,772,Outbound,DUMONT,MADISON AVE,JOHNSON AVE,DUMONT - MADISON AVE at JOHNSON AVE,11286
772,772,Outbound,DUMONT,MADISON AVE,COOPER AVE,DUMONT - MADISON AVE at COOPER AVE,11287
772,772,Outbound,DUMONT,MADISON AVE,PROSPECT AVE,DUMONT - MADISON AVE at PROSPECT AVE,11288
772,772,Outbound,DUMONT,MADISON AVE,OMAHA ST,DUMONT - MADISON AVE at OMAHA ST,11289
772,772,Outbound,DUMONT,MADISON AVE,LINCOLN AVE,DUMONT - MADISON AVE at LINCOLN AVE,11290
772,772,Inbound,DUMONT,WASHINGTON AVE,SHADYSIDE AVE,DUMONT - WASHINGTON AVE at SHADYSIDE AVE,11310
772,772,Outbound,HACKENSACK,COURT ST,MAIN ST,HACKENSACK - COURT ST at MAIN ST,12098
772,772,Outbound,HACKENSACK,HACKENSACK AVE,TEMPLE AVE,HACKENSACK - HACKENSACK AVE at TEMPLE AVE,12123
772,772,Inbound,HACKENSACK,HACKENSACK AVE,BERGEN CTY ACADEMIES (TECH HS),HACKENSACK - HACKENSACK AVE at BERGEN CTY ACADEMIES (TECH HS),12127
772,772,Inbound,HACKENSACK,HACKENSACK AVE,TEMPLE AVE,HACKENSACK - HACKENSACK AVE at TEMPLE AVE,12128
